temps_ms,pi_valeur,erreur_avant,error_avant_relative,log10Error,ntotal,n_workers
5424,3.141225275,-3.67378589793077E-4,-1.1695391372179667E-4,-3.4348861572454075,160000000,1
5830,3.14136285,-2.298035897929651E-4,-7.315410564334047E-5,-3.6386431914218895,160000000,1
5877,3.14154755,-4.510358979326057E-5,-1.435712465764224E-5,-4.3457888912625915,160000000,1
5635,3.14154275,-4.9903589792954506E-5,-1.588505831822741E-5,-4.301868212468874,160000000,1
5744,3.14164805,5.539641020702035E-5,1.7632914102844955E-5,-4.256518377470038,160000000,1
5760,3.14160965,1.6996410206804313E-5,5.410096129162423E-6,-4.7696427957984735,160000000,1
5426,3.14148015,-1.1250358979308928E-4,-3.581228733630205E-5,-3.948833619753004,160000000,1
5880,3.141512275,-8.037858979292878E-5,-2.558595439291377E-5,-4.094859617583172,160000000,1
6020,3.1415721,-2.0553589793248506E-5,-6.5424536311767305E-6,-4.687112315333174,160000000,1
5501,3.141727425,1.3477141020690198E-4,4.2897231992333634E-5,-3.8704022272833862,160000000,1
5595,3.1416714,7.874641020677586E-5,2.5065132593681143E-5,-4.103769235162786,160000000,1
5611,3.1416751,8.244641020693777E-5,2.624281874562324E-5,-4.083828249191789,160000000,1
5814,3.141895675,3.0302141020710494E-4,9.644540798036042E-5,-3.518526685008243,160000000,1
5539,3.14165405,6.139641020697084E-5,1.954270242039248E-5,-4.211857020925287,160000000,1
5586,3.141625975,3.332141020706558E-5,1.0606421793117999E-5,-4.477276626947513,160000000,1
5664,3.141646375,5.3721410206986064E-5,1.709976356170451E-5,-4.269852595462111,160000000,1
5695,3.1416146,2.1946410206918898E-5,6.985710534614557E-6,-4.658636507532341,160000000,1
5707,3.141691475,9.882141020689517E-5,3.145484239724563E-5,-4.005148952908623,160000000,1
5754,3.14154235,-5.030358979318805E-5,-1.6012386334116443E-5,-4.29840102147005,160000000,1
5832,3.14151415,-7.85035897932218E-5,-2.4989093171272778E-5,-4.105110483487341,160000000,1
5957,3.141752975,1.6032141020705382E-4,5.102928571494511E-5,-3.795008475687797,160000000,1
5820,3.1412296,-3.630535897931608E-4,-1.1557690332255905E-4,-3.4400292646782957,160000000,1
5836,3.141649275,5.662141020668088E-5,1.8022829810205624E-5,-4.247019318345111,160000000,1
6179,3.1416223,2.964641020675174E-5,9.43665640734462E-6,-4.528027886508286,160000000,1
6367,3.141572075,-2.057858979309657E-5,-6.550411482473013E-6,-4.686584389829212,160000000,1
5857,3.1414889,-1.0375358979297644E-4,-3.3026884097211495E-5,-3.983996868106858,160000000,1
5950,3.1416062,1.3546410206899395E-5,4.311937698270202E-6,-4.868175777401186,160000000,1
6091,3.14163155,3.889641020693446E-5,1.2380958615893217E-5,-4.410090478346773,160000000,1
6122,3.1415875,-5.153589793138735E-6,-1.6404412715350871E-6,-5.287890152658642,160000000,1
5571,3.1414604,-1.322535897929633E-4,-4.209939739904514E-5,-3.878592530966755,160000000,1
5618,3.141630075,3.742141020701695E-5,1.1911462939193102E-5,-4.426879850358569,160000000,1
5649,3.14153255,-6.010358979313679E-5,-1.9131932850142452E-5,-4.221099588217032,160000000,1
5712,3.141664475,7.182141020667387E-5,2.2860942273816138E-5,-4.143746071794684,160000000,1
5790,3.141560275,-3.2378589793324863E-5,-1.0306531455400729E-5,-4.489742070292784,160000000,1
5679,3.141420675,-1.719785897931203E-4,-5.4745482246856453E-5,-3.764525616542864,160000000,1
5789,3.141480975,-1.1167858979321821E-4,-3.554966293985537E-5,-3.952030078683042,160000000,1
5882,3.14177105,1.7839641020689356E-4,5.678211663669559E-5,-3.7486138889902936,160000000,1
5898,3.14153885,-5.3803589793233186E-5,-1.7126507855611333E-5,-4.269188747096031,160000000,1
6007,3.141700925,1.0827141020675057E-4,3.446267254313858E-5,-3.9654862066121517,160000000,1
6099,3.141614975,2.2321410206860293E-5,7.105075059957114E-6,-4.651278371306545,160000000,1
6114,3.1415426,-5.0053589792931064E-5,-1.5932806320350728E-5,-4.300564769905864,160000000,1
6193,3.141427075,-1.6557858979293627E-4,-5.270808006674364E-5,-3.7809958205458294,160000000,1
6208,3.141455775,-1.3687858979327672E-4,-4.3571706749007706E-5,-3.863664477810565,160000000,1
6302,3.141679625,8.697141020697075E-5,2.7683093309353827E-5,-4.0606234879552305,160000000,1
5912,3.141781725,1.8907141020685359E-4,6.017967725203876E-5,-3.723374136560069,160000000,1
5959,3.1414255,-1.6715358979313422E-4,-5.320947123945299E-5,-3.7768842920561068,160000000,1
6318,3.14168215,8.949641020672416E-5,2.8486780626972136E-5,-4.048194384334116,160000000,1
6318,3.1416166,2.3946410206754365E-5,7.62232100720195E-6,-4.620759582218035,160000000,1
6334,3.1419749,3.8224641020701E-4,1.2165800885519805E-4,-3.4176565844888467,160000000,1
6053,3.141406225,-1.8642858979323051E-4,-5.934558488793678E-5,-3.729487485558587,160000000,1
6100,3.141436625,-1.5602858979324452E-4,-4.966790943721315E-5,-3.806795816697968,160000000,1
6147,3.1417926,1.9994641020693038E-4,6.364086865788989E-5,-3.6990863886863306,160000000,1
6303,3.1418479,2.5524641020702177E-4,8.124085516903022E-5,-3.5930403571283964,160000000,1
6334,3.1414631,-1.2955358979294118E-4,-4.1239889080008985E-5,-3.887550548670701,160000000,1
5724,3.14164485,5.2196410206928334E-5,1.661435735071338E-5,-4.2823593644485385,160000000,1
5756,3.141726475,1.3382141020690241E-4,4.2594863452236853E-5,-3.8734743978473434,160000000,1
5802,3.14182895,2.3629641020672665E-4,7.520982649508231E-5,-3.626542876079235,160000000,1
5818,3.14176355,1.708964102067334E-4,5.439505789884583E-5,-3.767267059829181,160000000,1
5818,3.141503,-8.965358979295956E-5,-2.8538438382188257E-5,-4.047432316296323,160000000,1
5881,3.141503325,-8.932858979315839E-5,-2.843498177521693E-5,-4.0490095220493,160000000,1
5663,3.1415781,-1.4553589793298016E-5,-4.632572971303186E-6,-4.837029870243051,160000000,1
5725,3.141680925,8.827141020706364E-5,2.8096873079835005E-5,-4.054179935152167,160000000,1
5803,3.141441975,-1.506785897928964E-4,-4.7964785277594175E-5,-3.8219484530296235,160000000,1
5834,3.1415279,-6.475358979329826E-5,-2.0612132648351862E-5,-4.188736150270566,160000000,1
5850,3.141766175,1.7352141020676726E-4,5.523052975346495E-5,-3.760646931472605,160000000,1
5897,3.14154125,-5.140358979316417E-5,-1.6362538544787267E-5,-4.289006550792206,160000000,1
6018,3.141458375,-1.3427858979309093E-4,-4.274402960793359E-5,-3.871993228403284,160000000,1
6033,3.14167505,8.239641020679755E-5,2.6226904086340042E-5,-4.084091708950212,160000000,1
6158,3.141413875,-1.787785897930938E-4,-5.691023115923998E-5,-3.7476844927630855,160000000,1
6283,3.14169155,9.889641020688344E-5,3.1478714136301336E-5,-4.004819472362745,160000000,1
6329,3.14171855,1.2589641020710474E-4,4.007246613707798E-5,-3.899986653128613,160000000,1
6356,3.14158185,-1.0803589792995894E-5,-3.4389012633861164E-6,-4.966431914119946,160000000,1
6087,3.141721325,1.2867141020667106E-4,4.0955704499561576E-5,-3.8905179392556155,160000000,1
6243,3.141559475,-3.317858979290378E-5,-1.056118467816172E-5,-4.479142076966739,160000000,1
6259,3.141584825,-7.828589793312801E-6,-2.491923735757414E-6,-5.106316462736541,160000000,1
6321,3.14181795,2.2529641020696545E-4,7.170893215087954E-5,-3.6472457281151685,160000000,1
6462,3.141570025,-2.262858979307225E-5,-7.202955723729969E-6,-4.645342510303794,160000000,1
6602,3.141453475,-1.391785897930653E-4,-4.4303883823415624E-5,-3.856427568244746,160000000,1
6185,3.141564975,-2.767858979302318E-5,-8.810446390026734E-6,-4.557856040686016,160000000,1
6264,3.1414981,-9.455358979293393E-5,-3.0098248282541992E-5,-4.024321978213259,160000000,1
6279,3.1416081,1.544641020689852E-5,4.916720900642738E-6,-4.811172435882026,160000000,1
6295,3.14149085,-1.0180358979328119E-4,-3.2406139204028304E-5,-3.992236907658143,160000000,1
6310,3.1415102,-8.245358979319661E-5,-2.6246481642235832E-5,-4.083790431669697,160000000,1
6874,3.141587025,-5.628589792916472E-6,-1.7916389863229943E-6,-5.249600401217999,160000000,1
5846,3.1419047,3.1204641020687873E-4,9.931759235309675E-5,-3.5057808091936935,160000000,1
5861,3.141518225,-7.44285897931185E-5,-2.3691917239511958E-5,-4.128260209556684,160000000,1
5877,3.141472625,-1.200285897930975E-4,-3.820774653196206E-5,-3.9207152963646736,160000000,1
5924,3.141391225,-2.0142858979310674E-4,-6.412082270749538E-5,-3.6958788877636204,160000000,1
5939,3.141602975,1.0321410206959314E-5,3.2853961143703444E-6,-4.9862609613076545,160000000,1
5955,3.141635725,4.3071410206874106E-5,1.3709867717675672E-5,-4.365810908710174,160000000,1
5971,3.141686925,9.427141020701413E-5,3.0006621429031833E-5,-4.0256199962542745,160000000,1
5807,3.141738075,1.4542141020701393E-4,4.62869299526231E-5,-3.837371648152098,160000000,1
5822,3.141597425,4.771410206938498E-6,1.5187847331962012E-6,-5.321353244738152,160000000,1
5869,3.141559925,-3.2728589792974105E-5,-1.0417942224347066E-5,-4.485072707136969,160000000,1
5885,3.14169465,1.0199641020669503E-4,3.2465411686872576E-5,-3.9914151130896354,160000000,1
5885,3.14168545,9.279641020709661E-5,2.9537142302739635E-5,-4.03246882396868,160000000,1
5979,3.141587575,-5.0785897931504564E-6,-1.6165679523196028E-6,-5.294256864502722,160000000,1
6010,3.1413483,-2.4435358979291166E-4,-7.778621357998145E-5,-3.6119812763787977,160000000,1
6234,3.14167605,8.339641020693733E-5,2.6545197174908383E-5,-4.078852643137704,160000000,1
6312,3.14152065,-7.200358979320143E-5,-2.2919979785331486E-5,-4.142645850950473,160000000,1
6328,3.141661025,6.837141020676896E-5,2.176282217040553E-5,-4.165125462388948,160000000,1
6343,3.141509075,-8.35785897930208E-5,-2.6604599190285897E-5,-4.077904960905676,160000000,1
6499,3.141583025,-9.628589793031495E-6,-3.0648847146197875E-6,-5.016437315155014,160000000,1
6593,3.1417062,1.1354641020666634E-4,3.614163864420752E-5,-3.9448265915374225,160000000,1
6609,3.14136435,-2.2830358979319954E-4,-7.267657118258172E-5,-3.641487259709411,160000000,1
6268,3.141496575,-9.607858979299166E-5,-3.058370031582532E-5,-4.017373379976681,160000000,1
6315,3.14166615,7.349641020670816E-5,2.3394086671719772E-5,-4.133733872691193,160000000,1
6346,3.141672425,7.97714102067637E-5,2.5391383764895128E-5,-4.098152730380733,160000000,1
6580,3.1414702,-1.2245358979301457E-4,-3.8979707588190576E-5,-3.9120284787757282,160000000,1
6580,3.1418589,2.6624641020678297E-4,8.474168276837097E-5,-3.574716239094597,160000000,1
6705,3.14162945,3.6796410206818564E-5,1.1712523960080195E-5,-4.434194548267118,160000000,1
6783,3.141712725,1.2007141020697887E-4,3.821845621068962E-5,-3.920560388662394,160000000,1
6300,3.14172185,1.291964102070331E-4,4.1122803473844475E-5,-3.8887495532831617,160000000,1
6331,3.1415815,-1.1153589793089225E-5,-3.5503105022388323E-6,-4.95258533204042,160000000,1
6331,3.1418653,2.72646410206967E-4,8.677851663690578E-5,-3.564400216068371,160000000,1
6440,3.141529325,-6.332858979307687E-5,-2.015852256705478E-5,-4.198400182774892,160000000,1
6487,3.141585375,-7.278589793102697E-6,-2.3168524564138884E-6,-5.137952755906714,160000000,1
6503,3.141644225,5.157141020672995E-5,1.6415420242796573E-5,-4.287590992761842,160000000,1
6534,3.141544725,-4.79285897929671E-5,-1.5256376715428459E-5,-4.31940534910424,160000000,1
5803,3.141703775,1.1112141020674926E-4,3.536979236903048E-5,-3.954202255741253,160000000,1
5865,3.141314125,-2.7852858979304784E-4,-8.86662647254508E-5,-3.555130219692793,160000000,1
5928,3.141660325,6.767141020702638E-5,2.154001489865916E-5,-4.1695947731434195,160000000,1
5943,3.14180755,2.148964102066664E-4,6.839897313464232E-5,-3.6677708392338126,160000000,1
5943,3.14130745,-2.8520358979333693E-4,-9.0791364529867E-5,-3.5448450124189597,160000000,1
5975,3.141461075,-1.315785897930688E-4,-4.1884520180810706E-5,-3.880814772509213,160000000,1
5975,3.141432625,-1.6002858979291545E-4,-5.094127708465988E-5,-3.7958024218433546,160000000,1
6021,3.14165155,5.8896410207065486E-5,1.8746958174615348E-5,-4.2299111750732346,160000000,1
5831,3.14164245,4.979641020685932E-5,1.585043842492621E-5,-4.302801964138786,160000000,1
5862,3.14172715,1.3449641020679692E-4,4.280970427581432E-5,-3.8712893070978915,160000000,1
5878,3.1415018,-9.085358979321612E-5,-2.8920432193677596E-5,-4.041657908239442,160000000,1
5878,3.141665475,7.282141020681365E-5,2.3179237505168706E-5,-4.137740915087499,160000000,1
5878,3.141464125,-1.2852858979295334E-4,-4.0913594642101265E-5,-3.891000257482334,160000000,1
5925,3.1415633,-2.9353589793057466E-5,-9.343625128628624E-6,-4.532338779187009,160000000,1
5956,3.14164915,5.649641020699647E-5,1.7983042507148345E-5,-4.247979146460597,160000000,1
6003,3.14163325,4.059641020681681E-5,1.2922071730306781E-5,-4.39151236780946,160000000,1
6459,3.141663525,7.087141020667431E-5,2.2558561616388984E-5,-4.14952892551584,160000000,1
6459,3.141434025,-1.5862858979298622E-4,-5.049559803917455E-5,-3.799618536625249,160000000,1
6459,3.1415575,-3.515358979333527E-5,-1.1189860377642387E-5,-4.454030319354483,160000000,1
6521,3.141307525,-2.8512858979290456E-4,-9.076748695367052E-5,-3.5449592338768543,160000000,1
6521,3.14171095,1.1829641020666415E-4,3.76534990294585E-5,-3.927028434164053,160000000,1
6568,3.14153165,-6.100358979299614E-5,-1.9418422791632907E-5,-4.2146446079168145,160000000,1
6584,3.141396675,-1.9597858979292226E-4,-6.238581435848826E-5,-3.707791371718435,160000000,1
6600,3.1415258,-6.685358979297007E-5,-2.128061141276321E-5,-4.174875267752478,160000000,1
6428,3.141406875,-1.8577858979318407E-4,-5.913865894661737E-5,-3.7310043380843205,160000000,1
6428,3.141581325,-1.1328589792913846E-5,-3.6060151309034935E-6,-4.945824148677954,160000000,1
6474,3.141534075,-5.857858979307906E-5,-1.864649193502033E-5,-4.2322610876297695,160000000,1
6506,3.1416183,2.5646410207080805E-5,8.163439271753925E-6,-4.590973415595494,160000000,1
6506,3.1416968,1.0414641020695115E-4,3.3149733038194886E-5,-3.982355695031462,160000000,1
6521,3.1417908,1.981464102067676E-4,6.306798345923211E-5,-3.7030137913162373,160000000,1
6537,3.1415014,-9.125358979300557E-5,-2.9047763528930966E-5,-4.039750041976934,160000000,1
6646,3.141533975,-5.86785897929154E-5,-1.8678324111683496E-5,-4.23152033198817,160000000,1
6381,3.141422775,-1.698785897930044E-4,-5.4076958741411174E-5,-3.7698613528594755,160000000,1
